,city,date_mutation,latitude,longitude,nombre_pieces_principales,surface_reelle_bati,surface_terrain,type_local,valeur_fonciere
276,1419,1402351200.0,46.248715000000004,5.982080000000001,5.0,116.0,817.0,1,570000.0
277,1027,1487890800.0,45.831518,5.106072,4.0,90.0,771.0,1,286600.0
278,1142,1493157600.0,45.851054,5.069395,4.0,120.0,84.0,1,179000.0
279,1289,1404424800.0,46.183675,5.211568,6.0,181.0,933.0,1,355000.0
280,1160,1504476000.0,46.254646,6.09816,4.0,130.0,0.0,2,625000.0
281,1427,1480460400.0,45.934785999999995,4.792715,3.0,58.0,441.0,1,164000.0
282,1265,1443391200.0,46.174012,5.575061,1.0,12.0,747.0,2,80000.0
283,1143,1554760800.0,46.358546999999994,6.149062000000001,0.0,71.0,0.0,4,157770.0
284,1345,1531692000.0,45.952533,5.330854,2.0,59.0,0.0,2,90800.0
285,1007,1469656800.0,46.004681,5.374825,5.0,87.0,1402.0,1,199000.0
286,1034,1476050400.0,45.759337,5.686495,4.0,76.0,35.0,1,50000.0
287,1037,1544655600.0,45.827401,5.471604,1.0,60.0,42.0,1,45000.0
288,1033,1490738400.0,46.109178,5.828712,2.0,61.0,52.0,1,55000.0
289,1416,1403647200.0,45.916786,5.509318,4.0,100.0,75.0,1,70000.0
290,1053,1400796000.0,46.211902,5.266104,5.0,126.0,0.0,2,175750.0
291,1213,1450306800.0,45.932365000000004,5.286975,0.0,292.0,1782.0,4,140000.0
292,1053,1483484400.0,46.205262,5.228088,1.0,38.0,70.0,2,177000.0
293,1108,1411596000.0,46.380784999999996,5.342308,4.0,138.0,476.0,1,100000.0
294,1354,1493676000.0,46.242706,6.024588,2.0,53.0,0.0,2,153000.0
295,1313,1406239200.0,46.265762,6.07251,2.0,41.0,0.0,2,212000.0
296,1275,1442354400.0,45.822406,4.925128,2.0,57.0,0.0,2,167000.0
297,1053,1396476000.0,46.198271999999996,5.219136,3.0,68.0,0.0,2,180000.0
298,1333,1391554800.0,45.924034000000006,4.950512000000001,6.0,99.0,891.0,1,235000.0
299,1053,1519686000.0,46.20725,5.252374,6.0,137.0,800.0,1,300000.0
300,1053,1529272800.0,46.212513,5.237666,3.0,69.0,259.0,1,129000.0
301,1143,1403560800.0,46.347952,6.124642,4.0,70.0,0.0,2,280000.0
302,1238,1460066400.0,45.907571000000004,4.818386,5.0,98.0,340.0,1,235350.0
303,1354,1555538400.0,46.252862,6.028523000000001,0.0,,0.0,3,17500.0
304,1289,1513897200.0,46.183184999999995,5.206187,1.0,32.0,1016.0,2,205000.0
305,1427,1422226800.0,45.939471999999995,4.782744,3.0,65.0,0.0,2,185000.0
306,1435,1409004000.0,46.299116,6.098895,3.0,70.0,0.0,2,342000.0
307,1053,1449183600.0,46.193389,5.220604,4.0,79.0,0.0,2,102000.0
308,1160,1441144800.0,46.258627000000004,6.1090029999999995,4.0,86.0,0.0,2,300000.0
309,1313,1547074800.0,46.256054,6.081366,5.0,130.0,273.0,1,530000.0
310,1053,1456441200.0,46.207149,5.218227,4.0,89.0,0.0,2,117500.0
311,1089,1538690400.0,45.96356,5.318158,4.0,84.0,436.0,1,194650.0
312,1383,1478732400.0,46.096049,5.134251,4.0,83.0,614.0,1,147875.0
313,1313,1501106400.0,46.256776,6.081087999999999,5.0,122.0,272.0,1,580000.0
314,1305,1434405600.0,46.431391999999995,4.936694,2.0,46.0,0.0,1,49000.0
315,1004,1539554400.0,45.967890999999995,5.355221,4.0,80.0,182.0,1,120000.0
316,1053,1462312800.0,46.210108,5.226261,2.0,56.0,0.0,2,62500.0
317,1004,1426633200.0,45.957602,5.359367,2.0,40.0,0.0,2,72000.0
318,1354,1500588000.0,46.246808,6.018692,4.0,133.0,0.0,2,455000.0
319,1143,1425596400.0,46.348957,6.145773,4.0,92.0,1500.0,1,950000.0
320,1407,1426892400.0,45.955121000000005,5.832247,3.0,82.0,0.0,2,180500.0
321,1444,1535666400.0,45.850493,5.434203,3.0,50.0,80.0,2,201000.0
322,1007,1441663200.0,46.008291,5.361114,2.0,52.0,39.0,1,110870.0
323,1283,1454886000.0,46.254181,5.646471,4,78.0,550.0,1,139400.0
324,1004,1507500000.0,45.957722,5.354518,0.0,,1208.0,3,190000.0
